2026-08-05 12:17:49,550 | INFO | MainProcess:13368 | database | Connected to MongoDB database 'ai_camera_service'
2026-08-05 12:17:51,180 | INFO | MainProcess:13368 | camera.camera_process_manager | Attendance consumer started
2026-08-05 12:17:53,308 | INFO | MainProcess:13368 | camera.camera_process_manager | Started camera CAM_CAMERA_D7_701 with PID 11648
2026-08-05 12:17:53,334 | INFO | camera-CAM_CAMERA_D7_701:11648 | camera.camera_worker | Camera worker starting: camera=CAM_CAMERA_D7_701
2026-08-05 12:17:55,596 | INFO | MainProcess:13368 | camera.camera_process_manager | Started camera CAM_CAMERA_D8_801 with PID 3052
2026-08-05 12:17:55,606 | INFO | MainProcess:13368 | camera.camera_process_manager | Started camera grid with PID 9696
2026-08-05 12:17:55,606 | INFO | MainProcess:13368 | __main__ | Camera startup result: {'started': ['CAM_CAMERA_D7_701', 'CAM_CAMERA_D8_801'], 'count': 2, 'embeddingCount': 295}
2026-08-05 12:17:55,606 | INFO | MainProcess:13368 | __main__ | FastAPI startup completed
2026-08-05 12:17:55,606 | INFO | MainProcess:13368 | uvicorn.error | Application startup complete.
2026-08-05 12:17:55,607 | INFO | MainProcess:13368 | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-08-05 12:17:55,623 | INFO | camera-CAM_CAMERA_D8_801:3052 | camera.camera_worker | Camera worker starting: camera=CAM_CAMERA_D8_801
2026-08-05 13:48:52,132 | INFO | MainProcess:13368 | uvicorn.access | 127.0.0.1:60231 - "GET /api/attendance?etsAuth=SEA_FOOD HTTP/1.1" 200
2026-08-05 13:49:00,715 | INFO | MainProcess:13368 | uvicorn.access | 127.0.0.1:60239 - "GET /api/attendance?etsAuth=SEA_FOOD HTTP/1.1" 200
2026-08-05 13:49:03,376 | INFO | MainProcess:13368 | uvicorn.access | 127.0.0.1:60239 - "GET /api/attendance?etsAuth=SEA_FOOD HTTP/1.1" 200
2026-08-05 13:59:21,041 | INFO | camera-CAM_CAMERA_D8_801:3052 | camera.camera_worker | Camera CAM_CAMERA_D8_801 stopped
2026-08-05 13:59:21,081 | INFO | camera-CAM_CAMERA_D7_701:11648 | camera.camera_worker | Camera CAM_CAMERA_D7_701 stopped
2026-08-05 13:59:21,127 | INFO | MainProcess:13368 | uvicorn.error | Shutting down
2026-08-05 13:59:21,239 | INFO | MainProcess:13368 | uvicorn.error | Waiting for application shutdown.
2026-08-05 13:59:21,241 | INFO | MainProcess:13368 | __main__ | FastAPI shutdown started
2026-08-05 13:59:21,242 | INFO | MainProcess:13368 | camera.camera_process_manager | Stopping camera CAM_CAMERA_D7_701
2026-08-05 13:59:21,242 | INFO | MainProcess:13368 | camera.camera_process_manager | Stopping camera CAM_CAMERA_D8_801
2026-08-05 13:59:21,269 | INFO | MainProcess:13368 | camera.camera_process_manager | Stopped camera CAM_CAMERA_D7_701
2026-08-05 13:59:21,269 | INFO | MainProcess:13368 | camera.camera_process_manager | Stopped camera CAM_CAMERA_D8_801
2026-08-05 13:59:21,270 | INFO | MainProcess:13368 | camera.camera_process_manager | Attendance consumer stopped
2026-08-05 13:59:21,271 | INFO | MainProcess:13368 | __main__ | Camera processes stopped
2026-08-05 13:59:21,272 | INFO | MainProcess:13368 | database | Closed MongoDB connection
2026-08-05 13:59:21,272 | INFO | MainProcess:13368 | __main__ | MongoDB connection closed
2026-08-05 13:59:21,272 | INFO | MainProcess:13368 | __main__ | FastAPI shutdown completed
2026-08-05 13:59:25,365 | INFO | MainProcess:13864 | database | Connected to MongoDB database 'ai_camera_service'
2026-08-05 13:59:26,984 | INFO | MainProcess:13864 | camera.camera_process_manager | Attendance consumer started
2026-08-05 13:59:29,127 | INFO | MainProcess:13864 | camera.camera_process_manager | Started camera CAM_CAMERA_D7_701 with PID 10572
2026-08-05 13:59:29,153 | INFO | camera-CAM_CAMERA_D7_701:10572 | camera.camera_worker | Camera worker starting: camera=CAM_CAMERA_D7_701
2026-08-05 13:59:31,438 | INFO | MainProcess:13864 | camera.camera_process_manager | Started camera CAM_CAMERA_D8_801 with PID 8488
2026-08-05 13:59:31,447 | INFO | MainProcess:13864 | camera.camera_process_manager | Started camera grid with PID 6568
2026-08-05 13:59:31,447 | INFO | MainProcess:13864 | __main__ | Camera startup result: {'started': ['CAM_CAMERA_D7_701', 'CAM_CAMERA_D8_801'], 'count': 2, 'embeddingCount': 295}
2026-08-05 13:59:31,447 | INFO | MainProcess:13864 | __main__ | FastAPI startup completed
2026-08-05 13:59:31,447 | INFO | MainProcess:13864 | uvicorn.error | Application startup complete.
2026-08-05 13:59:31,449 | INFO | MainProcess:13864 | uvicorn.error | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-08-05 13:59:31,464 | INFO | camera-CAM_CAMERA_D8_801:8488 | camera.camera_worker | Camera worker starting: camera=CAM_CAMERA_D8_801
2026-08-05 14:10:08,980 | INFO | camera-CAM_CAMERA_D8_801:8488 | camera.camera_worker | Attendance event queued: camera=CAM_CAMERA_D8_801 employee=000011-32
2026-08-05 14:10:08,989 | INFO | MainProcess:13864 | service.attendance_service | Attendance evaluation started: etsAuth=SEA_FOOD employee=000011-32 camera=CAM_CAMERA_D8_801 direction=BIDIRECTIONAL score=0.5395 minimum_score=0.5000 cooldown_seconds=120
